,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
7,-3.0,10.0,-3.0,-0.32499999999999996,-0.6300000000000003,-8.0,1.0300000000000002,12.0,-0.25,-34.0,-9.0,0.8,1.0
8,-4.0,0.0,-3.0,-0.07499999999999996,1.6,-7.0,0.9300000000000002,14.0,-0.7599999999999999,-37.0,0.0,-0.39999999999999997,0.0
9,-3.0,0.0,-3.0,-0.15833333333333333,0.33000000000000007,-17.0,2.5800000000000005,4.0,1.0500000000000003,-26.0,0.0,-0.19999999999999996,1.0
10,-6.0,-10.0,-5.0,-0.047222222222222165,-0.5100000000000002,-10.0,0.06000000000000005,9.0,3.98,-27.0,-8.0,-0.09999999999999998,1.0
11,-3.0,0.0,-5.0,0.12738095238095237,1.8799999999999994,-7.0,0.9400000000000004,14.0,-0.47,-37.0,42.0,-0.7,0.0
12,-5.0,0.0,-3.0,-0.09166666666666667,1.56,-2.0,1.1400000000000001,-2.0,0.6499999999999999,-32.0,16.0,-0.49999999999999994,0.0
13,-4.0,10.0,-3.0,0.17500000000000004,4.52,7.0,2.3700000000000006,6.0,-1.44,-70.0,-58.0,3.3999999999999995,1.0
14,-5.0,-10.0,-4.0,-0.07499999999999996,0.3599999999999999,-17.0,4.07,5.0,0.21999999999999997,-47.0,25.0,-0.7,1.0
15,-6.0,0.0,-3.0,-0.05227272727272725,0.7399999999999998,-7.0,3.56,14.0,-0.61,-52.0,-14.0,1.2,1.0
0,-1.0,-15.0,-1.0,0.03343782654127481,-0.4099999999999999,4.0,0.22999999999999998,-1.0,-1.1400000000000001,-53.0,-59.0,-0.30000000000000004,0.0
1,-1.0,0.0,-3.0,-0.08128078817733986,0.3400000000000001,15.0,1.13,-4.0,-1.21,-46.0,-54.0,-0.5,0.0
2,-6.0,0.0,0.0,-0.08777429467084641,-0.76,-10.0,-0.7999999999999998,17.0,-2.0,-68.0,19.0,-0.9,1.0
3,-4.0,20.0,-2.0,0.07586206896551728,-0.20999999999999996,2.0,0.43000000000000016,0.0,-2.0,-68.0,-59.0,-0.9,1.0
4,-4.0,-15.0,-4.0,0.025862068965517238,1.7900000000000003,9.0,0.3900000000000001,2.0,-0.6299999999999999,-42.0,-24.0,-0.09999999999999998,0.0
5,-6.0,-30.0,-5.0,0.10194902548725637,0.4600000000000002,10.0,-0.5499999999999998,13.0,-0.24,-31.0,-16.0,-0.5,1.0
