Ben Nguyen,Tim Elliott,win
Ben Nguyen,Geane Herrera,win
Ben Nguyen,Louis Smolka,loss
Ben Nguyen,Ryan Benoit,win
Ben Nguyen,Alptekin Ozkilic,win
Tim Elliott,Ben Nguyen,loss
Tim Elliott,Louis Smolka,win
Tim Elliott,Demetrious Johnson,loss
Tim Elliott,Zach Makovsky,loss
Tim Elliott,Joseph Benavidez,loss
Tim Elliott,Ali Bagautinov,loss
Tim Elliott,Louis Gaudinot,win
Tim Elliott,Jared Papazian,win
Tim Elliott,John Dodson,loss
John Moraga,Ashkan Mokhtarian,win
John Moraga,Sergio Pettis,loss
John Moraga,Matheus Nicolau,loss
John Moraga,Joseph Benavidez,loss
John Moraga,Willie Gates,win
John Moraga,Justin Scoggins,win
John Moraga,John Dodson,loss
John Moraga,Dustin Ortiz,win
John Moraga,Demetrious Johnson,loss
John Moraga,Chris Cariaso,win
John Moraga,Ulysses Gomez,win
Dustin Ortiz,Hector Sandoval,win
Dustin Ortiz,Brandon Moreno,loss
Dustin Ortiz,Zach Makovsky,win
Dustin Ortiz,Jussier Formiga,loss
Dustin Ortiz,Wilson Reis,loss
Dustin Ortiz,Willie Gates,win
Dustin Ortiz,Joseph Benavidez,loss
Dustin Ortiz,Justin Scoggins,win
Dustin Ortiz,Ray Borg,win
Dustin Ortiz,John Moraga,loss
Dustin Ortiz,Jose Maria,win
Dustin Ortiz,Matt Horning,win
Dustin Ortiz,Justin Pennington,win
Ian McCall,John Lineker,loss
Ian McCall,Brad Pickett,win
Ian McCall,Iliarde Santos,win
Ian McCall,Joseph Benavidez,loss
Ian McCall,Demetrious Johnson,loss
Ian McCall,Demetrious Johnson,draw
Ian McCall,Dominick Cruz,loss
Ian McCall,Charlie Valencia,loss
Ian McCall,Coty Wheeler,win
Alexandre Pantoja,Neil Seery,win
Alexandre Pantoja,Eric Shelton,win
Louis Smolka,Tim Elliott,loss
Louis Smolka,Ray Borg,loss
Louis Smolka,Brandon Moreno,loss
Louis Smolka,Ben Nguyen,win
Louis Smolka,Paddy Holohan,win
Louis Smolka,Neil Seery,win
Louis Smolka,Richie Vaculik,win
Louis Smolka,Chris Cariaso,loss
Louis Smolka,Alptekin Ozkilic,win
Magomed Bibulatov,Jenel Lausa,win
Cody Garbrandt,Dominick Cruz,win
Cody Garbrandt,Takeya Mizugaki,win
Cody Garbrandt,Thomas Almeida,win
Cody Garbrandt,Augusto Mendes,win
Cody Garbrandt,Henry Briones,win
Cody Garbrandt,Marcus Brimage,win
Dominick Cruz,Cody Garbrandt,loss
