Yoshihiro Akiyama,Alberto Mina,loss
Yoshihiro Akiyama,Amir Sadollah,win
Yoshihiro Akiyama,Jake Shields,loss
Yoshihiro Akiyama,Vitor Belfort,loss
Yoshihiro Akiyama,Michael Bisping,loss
Yoshihiro Akiyama,Chris Leben,loss
Yoshihiro Akiyama,Alan Belcher,win
Yoshihiro Akiyama,Masanori Tonooka,win
Yoshihiro Akiyama,Katsuyori Shibata,win
Yoshihiro Akiyama,Kazuo Misaki,nc
Yoshihiro Akiyama,Denis Kang,win
Yoshihiro Akiyama,Kazushi Sakuraba,nc
Yoshihiro Akiyama,Melvin Manhoef,win
Yoshihiro Akiyama,Kestutis Smirnovas,win
Yoshihiro Akiyama,Taiei Kin,win
Yoshihiro Akiyama,Katsuhiko Nagata,win
Yoshihiro Akiyama,Tokimitsu Ishizawa,win
Yoshihiro Akiyama,Masakatsu Okuda,win
Yoshihiro Akiyama,Michael Lerma,win
Yoshihiro Akiyama,Carl Toomey,win
Yoshihiro Akiyama,Jerome LeBanner,loss
Yoshihiro Akiyama,Francois Botha,win
Razak Al-Hassan,Kyle Kingsbury,loss
Razak Al-Hassan,Steve Cantwell,loss
Mostapha Al-Turk,Jon Madsen,loss
Mostapha Al-Turk,Mirko Cro Cop,loss
Mostapha Al-Turk,Cheick Kongo,loss
John Albert,Yaotzin Meza,loss
John Albert,Scott Jorgensen,loss
John Albert,Erik Perez,loss
John Albert,Ivan Menjivar,loss
John Albert,Dustin Pague,win
Alexandra Albu,Kailin Curran,win
Alexandra Albu,Izabela Badurek,win
Iuri Alcantara,Joe Soto,win
Iuri Alcantara,Alejandro Perez,loss
Iuri Alcantara,Brian Kelleher,loss
Iuri Alcantara,Luke Sanders,win
Iuri Alcantara,Brad Pickett,win
Iuri Alcantara,Jimmie Rivera,loss
Iuri Alcantara,Leandro Issa,win
Iuri Alcantara,Frankie Saenz,loss
Iuri Alcantara,Russell Doane,win
Iuri Alcantara,Vaughan Lee,win
Iuri Alcantara,Wilson Reis,win
Iuri Alcantara,Urijah Faber,loss
Iuri Alcantara,Iliarde Santos,win
Iuri Alcantara,Pedro Nobre,nc
Iuri Alcantara,Hacran Dias,loss
Iuri Alcantara,Michihiro Omigawa,win
Iuri Alcantara,Felipe Arantes,win
Iuri Alcantara,Ricardo Lamas,win
Ildemar Alcantara,Kevin Casey,loss
Ildemar Alcantara,Richardson Moreira,win
Ildemar Alcantara,Kenny Robertson,loss
Ildemar Alcantara,Albert Tumenov,win
Ildemar Alcantara,Igor Araujo,loss
Ildemar Alcantara,Leandro Silva,win
Ildemar Alcantara,Wagner Prado,win
Alfonso Alcarez,Jens Pulver,draw
Gilbert Aldana,Cheick Kongo,loss
Gilbert Aldana,Paul Buentello,loss
Irene Aldana,Talita Bernardo,win
Irene Aldana,Katlyn Chookagian,loss
Irene Aldana,Leslie Smith,loss
Jose Aldo,Jeremy Stephens,win
Jose Aldo,Max Holloway,loss
Jose Aldo,Max Holloway,loss
Jose Aldo,Frankie Edgar,win
Jose Aldo,Conor McGregor,loss
Jose Aldo,Chad Mendes,win
Jose Aldo,Ricardo Lamas,win
Jose Aldo,Chan Sung Jung,win
Jose Aldo,Frankie Edgar,win
Jose Aldo,Chad Mendes,win
Jose Aldo,Kenny Florian,win
Jose Aldo,Mark Hominick,win
Jose Aldo,Manvel Gamburyan,win
Jose Aldo,Urijah Faber,win
Jose Aldo,Mike Brown,win
Jose Aldo,Cub Swanson,win
Jose Aldo,Chris Mickle,win
Jose Aldo,Rolando Perez,win
Jose Aldo,Jonathan Brookins,win
Jose Aldo,Alexandre Franca Nogueira,win
JJ Aldrich,Polyana Viana,win
JJ Aldrich,Danielle Taylor,win
JJ Aldrich,Chanmi Jeon,win
JJ Aldrich,Juliana Lima,loss
Jim Alers,Jason Knight,loss
Jim Alers,Cole Miller,nc
Jim Alers,Chas Skelly,loss
Jim Alers,Alan Omer,win
John Alessio,Shane Roller,loss
John Alessio,Mark Bocek,loss
John Alessio,Andre Galvao,loss
John Alessio,Brock Larson,loss
John Alessio,Todd Moore,win
John Alessio,Marcelo Brito,win
John Alessio,Alex Serdyukov,win
John Alessio,Carlos Condit,loss
John Alessio,Brian Gassaway,win
John Alessio,Thiago Alves,loss
John Alessio,Diego Sanchez,loss
John Alessio,Pat Miletich,loss
Houston Alexander,Kevin Ferguson,loss
Houston Alexander,Eric Schafer,loss
Houston Alexander,James Irvin,loss
Houston Alexander,Thiago Silva,loss
Houston Alexander,Alessio Sakara,win
Houston Alexander,Keith Jardine,win
Kenneth Alexander,Rob McCullough,loss
Kenneth Alexander,Donald Cerrone,nc
Marcio Alexandre Junior,Court McGee,loss
Marcio Alexandre Junior,Tim Means,loss
Marcio Alexandre Junior,Warlley Alves,loss
Olaf Alfonso,Alex Karalexis,loss
Olaf Alfonso,John Polakowski,loss
Olaf Alfonso,Hayato Sakurai,loss
Olaf Alfonso,Gilbert Melendez,loss
Pablo Alfonso,Marcos da Matta,win
Royce Alger,Eugene Jackson,loss
Royce Alger,Enson Inoue,loss
Sultan Aliev,Warlley Alves,loss
Sultan Aliev,Bojan Velickovic,win
Sultan Aliev,Kenny Robertson,loss
George Allen,Keith Jardine,loss
Arnold Allen,Mads Burnell,win
Arnold Allen,Makwan Amirkhani,win
Arnold Allen,Yaotzin Meza,win
Arnold Allen,Alan Omer,win
Benny Alloway,Zak Cummings,loss
Benny Alloway,Ryan LaFlare,loss
Benny Alloway,Manuel Rodriguez,win
Ricardo Almeida,Mike Pyle,loss
Ricardo Almeida,TJ Grant,win
Ricardo Almeida,Matt Hughes,loss
Ricardo Almeida,Matt Brown,win
Ricardo Almeida,Kendall Grove,win
Ricardo Almeida,Matt Horwich,win
Ricardo Almeida,Patrick Cote,loss
Ricardo Almeida,Rob Yundt,win
Ricardo Almeida,Ryo Chonan,win
Ricardo Almeida,Andrei Semenov,loss
Ricardo Almeida,Eugene Jackson,win
Ricardo Almeida,Matt Lindland,loss
Ricardo Almeida,Akira Shoji,win
Magno Almeida,James Terry,loss
Magno Almeida,Conor Heun,loss
Thomas Almeida,Rob Font,loss
Thomas Almeida,Jimmie Rivera,loss
Thomas Almeida,Albert Morales,win
Thomas Almeida,Cody Garbrandt,loss
Thomas Almeida,Anthony Birchak,win
Thomas Almeida,Brad Pickett,win
Thomas Almeida,Yves Jabouin,win
Thomas Almeida,Tim Gorman,win
Ericka Almeida,Aisling Daly,loss
Ericka Almeida,Juliana Lima,loss
Rico Altamirano,Alexander Trevino,win
Mike Altman,Cung Le,loss
Sean Alvarez,Wesley Correira,loss
Eddie Alvarez,Dustin Poirier,loss
Eddie Alvarez,Justin Gaethje,win
Eddie Alvarez,Dustin Poirier,nc
Eddie Alvarez,Conor McGregor,loss
Eddie Alvarez,Rafael Dos Anjos,win
Eddie Alvarez,Anthony Pettis,win
Eddie Alvarez,Gilbert Melendez,win
Eddie Alvarez,Donald Cerrone,loss
Eddie Alvarez,Katsunori Kikuno,win
Eddie Alvarez,Shinya Aoki,loss
Eddie Alvarez,Tatsuya Kawajiri,win
Eddie Alvarez,Joachim Hansen,win
Eddie Alvarez,Andre Amado,win
Thiago Alves,Curtis Millender,loss
Thiago Alves,Patrick Cote,win
Thiago Alves,Jim Miller,loss
Thiago Alves,Carlos Condit,loss
Thiago Alves,Jordan Mein,win
Thiago Alves,Seth Baczynski,win
Thiago Alves,Martin Kampmann,loss
Thiago Alves,Papy Abedi,win
Thiago Alves,Rick Story,loss
Thiago Alves,John Howard,win
Thiago Alves,Jon Fitch,loss
Thiago Alves,Georges St-Pierre,loss
Thiago Alves,Josh Koscheck,win
Thiago Alves,Matt Hughes,win
Thiago Alves,Karo Parisyan,win
Thiago Alves,Chris Lytle,win
Thiago Alves,Kuniyoshi Hironaka,win
Thiago Alves,Tony DeSouza,win
Thiago Alves,John Alessio,win
Thiago Alves,Jon Fitch,loss
Thiago Alves,Derrick Noble,win
Thiago Alves,Ansar Chalangov,win
Thiago Alves,Spencer Fisher,loss
Amilcar Alves,Charlie Brenneman,loss
Amilcar Alves,Mike Pierce,loss
Warlley Alves,Sultan Aliev,win
Warlley Alves,Salim Touahri,win
Warlley Alves,Kamaru Usman,loss
Warlley Alves,Bryan Barberena,loss
Warlley Alves,Colby Covington,win
Warlley Alves,Nordine Taleb,win
Warlley Alves,Alan Jouban,win
Warlley Alves,Marcio Alexandre Junior,win
Sam Alvey,Gian Villante,win
Sam Alvey,Marcin Prachnio,win
Sam Alvey,Ramazan Emeev,loss
Sam Alvey,Rashad Evans,win
Sam Alvey,Thales Leites,loss
Sam Alvey,Nate Marquardt,win
Sam Alvey,Alex Nicholson,win
Sam Alvey,Kevin Casey,win
Sam Alvey,Eric Spicely,win
Sam Alvey,Elias Theodorou,loss
Sam Alvey,Derek Brunson,loss
Sam Alvey,Daniel Kelly,win
Sam Alvey,Cezar Ferreira,win
Sam Alvey,Dylan Andrews,win
Sam Alvey,Tom Watson,loss
Andre Amado,KJ Noons,loss
Andre Amado,Katsunori Kikuno,loss
