,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
0,-1.0,0.0,-1.0,-0.2321428571428571,-2.0700000000000003,-8.0,0.3200000000000003,-4.0,-1.0899999999999999,-12.0,-10.0,-0.5,0.0
1,4.0,20.0,4.0,-0.3035714285714286,-0.39000000000000057,9.0,-0.3899999999999997,-1.0,-0.69,44.0,-13.0,0.09999999999999998,0.0
2,1.0,0.0,3.0,-0.1907894736842105,-1.7200000000000002,-9.0,0.98,-7.0,-0.5199999999999999,8.0,-21.0,-0.6000000000000001,1.0
3,-6.0,0.0,-3.0,-0.19499999999999995,-0.8000000000000003,3.0,-0.6099999999999999,-3.0,-0.2899999999999998,2.0,-12.0,0.0,1.0
4,1.0,10.0,4.0,-0.125,-0.9200000000000004,2.0,1.4299999999999997,-12.0,2.2600000000000002,7.0,-19.0,-0.8,1.0
5,-1.0,0.0,1.0,-0.125,-1.7500000000000004,3.0,-0.19999999999999973,-16.0,-0.3599999999999999,-19.0,-16.0,-0.5,1.0
6,5.0,20.0,3.0,-0.21875,-2.7200000000000006,1.0,-1.2199999999999998,0.0,-0.33999999999999986,-17.0,-51.0,0.5999999999999999,1.0
7,-3.0,0.0,0.0,-0.11309523809523814,-1.7200000000000002,2.0,0.0,-11.0,-0.8699999999999999,-17.0,-27.0,0.0,1.0
0,-2.0,0.0,-1.0,0.03105590062111796,2.33,1.0,0.21999999999999975,-2.0,-0.77,-8.0,-14.0,0.30000000000000004,0.0
1,-4.0,0.0,-1.0,0.007246376811594235,0.24,19.0,-0.4900000000000002,-13.0,1.81,18.0,-30.0,1.7000000000000002,0.0
2,-4.0,0.0,-2.0,-0.1460869565217391,2.26,11.0,0.08999999999999986,-6.0,-0.8699999999999999,2.0,-23.0,0.30000000000000004,1.0
3,-3.0,0.0,-1.0,0.08300395256916993,2.7800000000000002,10.0,0.56,4.0,0.14000000000000012,-6.0,20.0,-0.3,0.0
4,-1.0,10.0,-2.0,-0.12238325281803542,2.25,8.0,1.3199999999999998,-5.0,-1.18,-8.0,4.0,-0.5,0.0
5,-1.0,10.0,0.0,-0.27053140096618356,2.2800000000000002,8.0,1.27,-2.0,0.6299999999999999,8.0,-21.0,0.19999999999999996,1.0
6,-3.0,0.0,-1.0,-0.12238325281803542,0.8499999999999999,11.0,0.10000000000000009,-5.0,1.73,-7.0,-24.0,-0.2,1.0
7,-2.0,0.0,0.0,-0.09881422924901184,1.93,13.0,0.18999999999999995,-13.0,0.41999999999999993,-6.0,-25.0,-0.4,1.0
8,-2.0,0.0,-1.0,-0.048309178743961345,1.0399999999999998,5.0,-0.050000000000000266,-6.0,3.44,6.0,-30.0,0.09999999999999998,1.0
9,4.0,10.0,5.0,0.03754940711462451,0.33999999999999986,7.0,0.6299999999999999,-20.0,1.58,-6.0,-30.0,1.3,1.0
0,6.0,10.0,5.0,0.047222222222222165,0.5100000000000002,10.0,-0.06000000000000005,-9.0,-3.98,27.0,8.0,0.09999999999999998,0.0
1,-1.0,0.0,0.0,0.13131313131313127,1.7400000000000002,5.0,0.6100000000000003,10.0,-3.3,-12.0,50.0,-0.39999999999999997,0.0
2,2.0,0.0,1.0,0.048309178743961345,-1.0399999999999998,-5.0,0.050000000000000266,6.0,-3.44,-6.0,30.0,-0.09999999999999998,0.0
3,1.0,0.0,-1.0,0.14529914529914534,1.1800000000000002,15.0,-0.34999999999999987,4.0,-1.88,11.0,12.0,-0.09999999999999998,0.0
