first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,29,8,0,n/a,3.87,49%,4.23,56%,0,0%,88%,0.2
Andre,Amado,Dida,"6' 0""",154 lbs.,n/a,Orthodox,6,4,1,n/a,2.27,24%,5.91,63%,0,0%,20%,0
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,13,2,1,n/a,3.29,47%,0.82,78%,5.84,56%,100%,0
Chris,Amarante,n/a,n/a,185 lbs.,n/a,n/a,2,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,n/a,Southpaw,15,18,1,n/a,0.83,29%,3.76,40%,3.13,57%,100%,0.8
JJ,Ambrose,n/a,"5' 10""",170 lbs.,n/a,Orthodox,17,3,0,n/a,3.16,69%,6.32,33%,0,0%,50%,0
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,13,2,0,n/a,2.26,66%,0.83,41%,4.46,62%,0%,1.8
Bertrand,Amoussou,n/a,"5' 8""",190 lbs.,n/a,Orthodox,1,1,0,n/a,6.75,39%,2.01,83%,0,0%,0%,0
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,n/a,Orthodox,12,4,2,n/a,1.47,34%,2.67,54%,0,0%,25%,1
Matt,Andersen,n/a,"6' 2""",230 lbs.,n/a,Southpaw,14,8,1,n/a,0,0%,0,0%,0,0%,0%,0
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,n/a,n/a,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Lowell,Anderson,n/a,"5' 6""",160 lbs.,n/a,Orthodox,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",n/a,10,2,0,n/a,5.11,46%,2.39,58%,4.44,52%,33%,0
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,n/a,n/a,13,2,0,n/a,3.97,37%,3.08,61%,0.34,14%,60%,0
Alex,Andrade,El Toro,"5' 11""",200 lbs.,n/a,Orthodox,10,5,0,n/a,0.2,36%,2.6,53%,0,0%,25%,0.8
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,15,5,0,n/a,6.45,56%,3.99,56%,2.71,62%,74%,0.9
Viscardi,Andrade,n/a,"5' 11""",170 lbs.,"75.0""",Orthodox,19,7,0,n/a,3.26,42%,2.77,63%,1.93,50%,66%,0.3
Jermaine,Andre,n/a,"5' 7""",200 lbs.,n/a,Orthodox,14,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"73.0""",Switch,18,8,0,n/a,2.21,50%,2.72,46%,2.83,50%,57%,0.4
Reese,Andy,Riptide,"6' 0""",205 lbs.,n/a,Orthodox,7,3,0,n/a,2.87,50%,3.5,58%,0.67,20%,40%,0
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,n/a,Orthodox,0,5,1,n/a,0,0%,3.13,25%,0,0%,0%,0
Nina,Ansaroff,The Strina,"5' 5""",115 lbs.,"64.0""",Orthodox,6,5,0,n/a,3.83,53%,3.1,46%,0.5,33%,71%,1
Gadzhimurad,Antigulov,n/a,"5' 11""",205 lbs.,"70.0""",Orthodox,19,4,0,n/a,0,0%,1.79,66%,13.43,100%,0%,13.4
Adam,Antolin,n/a,"5' 5""",135 lbs.,n/a,n/a,3,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Angelo,Antonio,n/a,n/a,205 lbs.,n/a,Orthodox,0,3,0,n/a,1.09,50%,7.64,50%,0,0%,0%,0
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,9,2,0,n/a,3.58,65%,4.12,44%,2.99,25%,100%,0
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,n/a,Southpaw,30,5,0,n/a,0.97,58%,1.25,58%,2.54,41%,60%,4
Erik,Apple,n/a,"6' 0""",170 lbs.,n/a,Orthodox,10,3,0,n/a,0,0%,0.54,81%,0,0%,0%,8.1
Kenji,Arai,n/a,"5' 10""",145 lbs.,n/a,Southpaw,15,15,5,n/a,8.79,27%,10.29,39%,0,0%,0%,0
Romie,Aram,n/a,"5' 10""",170 lbs.,n/a,Orthodox,7,1,0,n/a,1.8,35%,2.83,50%,2.5,62%,83%,0
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,8,1,n/a,2.43,49%,2.33,63%,1.13,56%,42%,0.9
Igor,Araujo,n/a,"6' 1""",170 lbs.,"77.0""",Orthodox,25,8,0,n/a,1.52,42%,2.86,49%,0.86,15%,22%,0.6
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,n/a,n/a,14,6,0,n/a,1.53,46%,2.73,51%,0,0%,50%,1
Tristan,Arenal,n/a,n/a,155 lbs.,n/a,n/a,4,1,0,n/a,0,0%,0,0%,0,0%,0%,0
